,Области,"ПТП, бр., 2021 г.","Загинали, бр., 2021 г.","Ранени, бр., 2021 г.","ПТП, бр., 2020 г.","Загинали, бр., 2020 г.","Ранени, бр., 2020 г.","Разлика ПТП, бр.","Разлика ПТП, %","Разлика загинали, бр.","Разлика загинали, %","Разлика ранени, бр.","Разлика ранени, %",Total Occurrences,Total Deaths,Total Injuries,Statistical Significance Deaths,Statistical Significance Injuries,Statistical Significance Occurences
0,БЛАГОЕВГРАД,274,14,390,249,15,320,25,10.04,-1,-6.67,70,21.88,523,29,710, , , 
1,БУРГАС,396,28,538,367,26,432,29,7.9,2,7.69,106,24.54,763,54,970, ,Significant increase, 
2,ВАРНА,550,22,686,569,29,702,-19,-3.34,-7,-24.14,-16,-2.28,1119,51,1388,Significant decrease, , 
3,ВЕЛИКО ТЪРНОВО,218,30,265,218,14,281,0,0,16,114.29,-16,-5.69,436,44,546,Significant increase, , 
4,ВИДИН,71,6,86,95,14,124,-24,-25.26,-8,-57.14,-38,-30.65,166,20,210,Significant decrease, , 
5,ВРАЦА,183,23,248,155,14,209,28,18.06,9,64.29,39,18.66,338,37,457,Significant increase, , 
6,ГАБРОВО,71,7,73,107,9,123,-36,-33.64,-2,-22.22,-50,-40.65,178,16,196, , , 
7,ДОБРИЧ,123,13,158,107,18,134,16,14.95,-5,-27.78,24,17.91,230,31,292, , , 
8,КЪРДЖАЛИ,129,4,161,99,6,128,30,30.3,-2,-33.33,33,25.78,228,10,289, , , 
9,КЮСТЕНДИЛ,91,3,115,74,7,82,17,22.97,-4,-57.14,33,40.24,165,10,197, , , 
10,ЛОВЕЧ,205,29,280,161,17,235,44,27.33,12,70.59,45,19.15,366,46,515,Significant increase, , 
11,МОНТАНА,161,15,207,133,13,178,28,21.05,2,15.38,29,16.29,294,28,385, , , 
12,ПАЗАРДЖИК,210,25,258,215,16,282,-5,-2.33,9,56.25,-24,-8.51,425,41,540,Significant increase, , 
13,ПЕРНИК,62,54,72,55,3,62,7,12.73,51,1700,10,16.13,117,57,134,Significant increase, , 
14,ПЛЕВЕН,226,23,276,208,13,254,18,8.65,10,76.92,22,8.66,434,36,530,Significant increase, , 
15,ПЛОВДИВ,731,34,934,701,38,881,30,4.28,-4,-10.53,53,6.02,1432,72,1815, , , 
16,РАЗГРАД,106,10,134,112,14,129,-6,-5.36,-4,-28.57,5,3.88,218,24,263, , , 
17,РУСЕ,300,23,372,285,14,369,15,5.26,9,64.29,3,0.81,585,37,741,Significant increase, , 
18,СИЛИСТРА,98,9,130,76,12,94,22,28.95,-3,-25,36,38.3,174,21,224, , , 
19,СЛИВЕН,137,13,169,91,23,108,46,50.55,-10,-43.48,61,56.48,228,36,277,Significant decrease, , 
20,СМОЛЯН,78,2,101,82,4,116,-4,-4.88,-2,-50,-15,-12.93,160,6,217, , , 
21,СОФИЙСКА,155,34,153,149,34,178,6,4.03,0,0,-25,-14.04,304,68,331, , , 
22,СОФИЯ,649,52,741,622,35,747,27,4.34,17,48.57,-6,-0.8,1271,87,1488,Significant increase, , 
23,СТАРА ЗАГОРА,358,27,453,304,31,355,54,17.76,-4,-12.9,98,27.61,662,58,808, ,Significant increase, 
24,ТЪРГОВИЩЕ,44,8,54,56,10,58,-12,-21.43,-2,-20,-4,-6.9,100,18,112, , , 
25,ХАСКОВО,260,21,326,257,14,344,3,1.17,7,50,-18,-5.23,517,35,670,Significant increase, , 
26,ШУМЕН,147,18,177,116,10,135,31,26.72,8,80,42,31.11,263,28,312,Significant increase, , 
27,ЯМБОЛ,47,14,52,47,10,61,0,0,4,40,-9,-14.75,94,24,113, , , 
